,UMAP1,UMAP2,profile
0,-1.9398186,19.99874,4
1,13.371956,17.023787,4
2,-2.0224993,18.622072,4
3,17.249365,22.404762,5
4,-6.987777,-10.9121065,1
5,25.334631,20.85637,5
6,-18.344255,-16.008112,1
7,-18.344584,-16.007782,1
8,-18.344645,-16.007694,1
9,23.059233,31.764082,0
10,23.029423,31.463045,0
11,23.323187,31.639687,0
12,-14.379208,22.305145,3
13,23.268124,31.301327,0
14,22.804379,31.61733,0
15,-17.076231,9.570145,3
16,22.939013,31.788124,0
17,2.8477962,-25.784225,1
18,22.940983,31.845062,0
19,23.095623,31.662329,0
20,-21.148252,2.6966176,3
21,23.428123,31.657873,0
22,-17.077906,9.571493,3
23,6.951179,20.612352,4
24,6.743414,20.75693,4
25,-18.343372,-16.00898,1
26,-2.0406284,18.614372,4
27,2.8477569,-25.784193,1
28,12.804705,-23.32808,2
29,-2.0296574,18.60208,4
30,17.249353,22.394358,5
31,-2.0318022,18.610245,4
32,1.2941445,27.646763,4
33,17.004545,22.18444,5
34,1.4844772,14.0493765,4
35,6.3534765,8.928838,2
36,7.1793885,20.930779,4
37,-0.868529,18.563646,4
38,6.8384233,21.24796,4
39,12.494049,17.043636,4
40,10.922067,17.428543,4
41,25.331802,20.857433,5
42,-2.0494666,18.60061,4
43,-23.295486,13.627049,3
44,2.846772,-25.783178,1
45,23.032177,31.549612,0
46,23.229578,31.60616,0
47,2.8429508,-25.779362,1
48,-21.081697,2.6300757,3
49,23.038376,31.602383,0
50,23.064201,31.679651,0
51,23.170656,31.642233,0
52,-13.5270405,2.138608,3
53,-21.171627,2.7201467,3
54,22.84017,31.566984,0
55,-21.17926,2.7248943,3
56,-8.861462,4.7263308,2
57,12.805667,-23.329027,2
58,23.277142,31.587805,0
59,-17.07466,9.574387,3
60,23.03727,31.684938,0
61,23.281204,31.985882,0
62,22.774675,31.582325,0
63,23.162405,31.517574,0
64,-21.175838,2.7238739,3
65,-21.156193,2.704683,3
66,-14.38541,22.298946,3
67,22.771168,31.593561,0
68,23.168526,31.477015,0
69,23.225624,31.522085,0
70,22.9758,31.755602,0
71,-21.187784,2.7374048,3
72,-6.43459,-3.26818,2
73,-23.480345,13.440238,3
74,-21.187727,2.7373154,3
75,-21.087063,2.635513,3
76,23.269627,31.625603,0
77,23.397509,31.633698,0
78,-14.388041,22.296314,3
79,-9.076719,15.0753,2
80,2.835272,-25.771683,1
81,12.803812,-23.327164,2
82,-21.11414,2.6623204,3
83,-14.384617,22.299755,3
84,-6.987761,-10.912125,1
85,-13.806218,14.427619,3
86,-18.34433,-16.008026,1
87,23.29973,31.690002,0
88,-17.074593,9.573632,3
89,12.806504,-23.329866,2
90,12.805715,-23.329077,2
91,-21.152632,2.7009432,3
92,6.731262,20.765081,4
93,-1.8360108,20.04265,4
94,0.8552965,14.069073,4
95,6.8081093,21.247553,4
96,-2.048001,18.61296,4
97,6.3249025,19.18058,4
98,6.938908,20.533693,4
99,6.8140163,20.986273,4
100,12.805012,-23.328402,2
101,6.367367,20.814041,4
102,7.1640854,20.939352,4
103,10.412996,18.186111,4
104,-1.2177569,20.349352,4
105,17.279371,22.421822,5
106,-1.4856353,20.1883,4
107,17.257454,22.414165,5
108,-2.0490608,18.606915,4
109,-1.6972754,20.109726,4
110,0.92088723,14.014624,4
111,0.91347915,14.121953,4
112,0.8060227,14.068936,4
113,-1.4698766,20.181135,4
114,0.90529937,14.102681,4
115,0.8366672,14.121648,4
116,7.0074606,20.97158,4
117,2.8467703,-25.783205,1
118,-18.344425,-16.007956,1
119,-18.343616,-16.008732,1
120,-8.861548,4.726246,2
121,13.386743,17.041523,4
122,13.370558,17.022335,4
123,13.405451,17.053482,4
124,12.518929,17.027802,4
125,17.03279,22.230694,5
126,10.895241,17.445328,4
127,6.3609996,8.932293,2
128,0.8020411,14.07277,4
129,-1.2183869,20.349234,4
130,1.2898444,27.650055,4
131,24.309587,20.805374,5
132,-0.8722486,18.565752,4
133,-1.2789518,20.303516,4
134,0.90327436,14.140636,4
135,1.4302835,14.092948,4
136,23.96638,20.757395,5
137,-14.332601,22.351522,3
138,-14.32856,22.355549,3
139,-8.861833,4.725963,2
140,-14.394492,22.289865,3
141,2.8409216,-25.777346,1
142,-17.075632,9.573956,3
143,-14.344682,22.33955,3
144,22.939016,31.531767,0
145,-21.190666,2.7394323,3
146,23.095715,31.574837,0
147,22.991562,31.608965,0
148,23.299309,31.673285,0
149,23.100845,31.79961,0
150,12.805493,-23.328903,2
151,22.983072,31.45419,0
152,-11.002994,-4.422123,1
153,12.802976,-23.326324,2
154,-14.332245,22.352022,3
155,23.300522,31.665424,0
156,13.400334,17.051403,4
157,6.6937947,19.967924,4
158,12.80114,-23.324446,2
159,-0.30120784,-14.313609,1
160,17.1388,22.312998,5
161,1.3018662,27.638647,4
162,13.3978615,17.050468,4
163,-0.4514331,18.97331,4
164,-0.31234625,19.07168,4
165,-2.0159886,18.61572,4
166,12.491004,17.04324,4
167,12.4921,17.041893,4
168,10.419972,18.175755,4
169,-21.148771,2.697599,3
170,-0.87689364,18.560892,4
171,-2.0446923,18.601551,4
172,6.806346,21.260706,4
173,16.988447,22.191393,5
174,6.3193235,19.175583,4
175,1.4414694,14.094275,4
176,6.354358,8.920591,2
177,6.3188086,19.174212,4
178,6.9428062,20.533052,4
179,17.070366,22.270372,5
180,7.1939316,21.059254,4
181,6.960272,20.54702,4
182,17.12453,22.226988,5
183,12.51678,17.026447,4
184,-0.30168617,-14.314097,1
185,-13.806227,14.427589,3
186,-18.342752,-16.009605,1
187,-18.343529,-16.008831,1
188,-18.344044,-16.008326,1
189,-13.806204,14.427568,3
190,23.190174,31.725067,0
191,-17.074543,9.571725,3
192,23.190886,31.711454,0
193,23.257578,31.963974,0
194,-8.861928,4.7258515,2
195,-8.861437,4.726354,2
196,-0.30138347,-14.313806,1
197,-21.186756,2.7359529,3
198,-8.861229,4.726553,2
199,-14.380952,22.303394,3
200,-8.861315,4.7264686,2
201,-14.351195,22.333096,3
202,-21.177532,2.725757,3
203,2.8401773,-25.776594,1
204,-21.072496,2.620783,3
205,-23.483292,13.437253,3
206,22.760191,31.571812,0
207,23.10908,31.505468,0
208,-21.148687,2.6965163,3
209,23.064373,31.51419,0
210,12.804066,-23.327421,2
211,-17.072908,9.566758,3
212,22.767076,31.611013,0
213,22.976124,31.438107,0
214,23.322649,31.730398,0
215,-17.07014,9.565012,3
216,-14.352279,22.332003,3
217,-17.071806,9.570431,3
218,22.919718,31.814745,0
219,23.297186,31.74864,0
220,-21.12224,2.6705618,3
221,23.285368,31.96445,0
222,23.26708,31.980034,0
223,-14.385581,22.298733,3
224,2.841794,-25.778223,1
225,-17.068228,9.568091,3
226,23.044079,31.504076,0
227,22.973679,31.745646,0
228,0.7919632,14.0610695,4
229,-1.8957227,20.014389,4
230,-2.0437536,18.599327,4
231,-1.6838866,20.125172,4
232,0.8847869,14.118022,4
233,6.320339,19.17612,4
234,6.3572507,8.934836,2
235,0.78259104,14.050449,4
236,-2.0136142,18.615667,4
237,-23.289824,13.632769,3
238,-18.343662,-16.008701,1
239,-14.313594,22.370506,3
240,-18.344557,-16.007786,1
241,-14.3459215,22.338379,3
242,-23.290342,13.632257,3
243,-17.073257,9.566609,3
244,-21.149265,2.697602,3
245,17.387814,22.097855,5
246,6.7074633,19.99616,4
247,-1.3460684,20.244038,4
248,0.90721625,14.139387,4
249,1.4339765,14.030956,4
250,6.9397287,20.540152,4
251,-2.0328565,18.60794,4
252,-1.7083899,20.11861,4
253,-0.33202484,19.187958,4
254,17.160032,22.343485,5
255,17.257355,22.424273,5
256,6.331593,19.191732,4
257,-1.9663793,18.734322,4
258,6.318187,19.174856,4
259,1.0126824,14.155605,4
260,6.347088,19.208109,4
261,6.3572865,8.921456,2
262,6.932936,20.525255,4
263,-23.481277,13.439272,3
264,6.9486156,20.536243,4
265,6.998764,20.833643,4
266,18.681341,13.666399,4
267,-13.806234,14.42758,3
268,-17.074587,9.568497,3
269,-17.07609,9.570183,3
270,22.96543,31.712202,0
271,-1.2279323,20.339802,4
272,23.97239,20.75852,5
273,23.969091,20.757887,5
274,7.163262,20.939821,4
275,13.361375,17.043146,4
276,10.83828,10.719183,4
277,6.3713202,19.235155,4
278,-2.000127,19.958988,4
279,18.648184,13.660242,4
280,17.382235,22.104412,5
281,16.98163,22.176994,5
282,-1.2362835,20.33053,4
283,17.289425,22.380306,5
284,-1.343916,20.252998,4
285,6.3747993,20.809837,4
286,7.0352554,20.712774,4
287,24.312122,20.80275,5
288,0.80551875,14.066012,4
289,1.0788931,14.20431,4
290,6.377709,19.242912,4
291,10.904526,17.435572,4
292,0.92423266,14.009196,4
293,-1.7250154,20.10714,4
294,-18.343182,-16.009163,1
295,-14.327,22.357046,3
296,-13.80621,14.427594,3
297,-14.323845,22.360256,3
298,-18.342451,-16.009901,1
299,-18.34434,-16.008043,1
300,-17.072561,9.560554,3
301,-23.442223,13.4778595,3
302,2.847916,-25.784344,1
303,-8.861046,4.726727,2
304,-21.068811,2.6173563,3
305,23.204454,31.549948,0
306,22.88249,31.615692,0
307,-11.002773,-4.4222903,1
308,23.25494,31.67907,0
309,23.052137,31.825027,0
310,-17.06944,9.563934,3
311,22.980927,31.58219,0
312,23.190048,31.73369,0
313,12.805883,-23.329283,2
314,23.255232,31.652575,0
315,2.8416877,-25.77809,1
316,-23.477535,13.443061,3
317,-13.526944,2.1386988,3
318,-14.377817,22.306524,3
319,23.405403,31.647099,0
320,-11.002808,-4.4222717,1
321,13.071763,16.894226,4
322,-18.34384,-16.008514,1
323,-13.806224,14.427577,3
324,-17.079266,9.578617,3
325,-14.350729,22.333572,3
326,2.8429418,-25.779343,1
327,-23.289764,13.632835,3
328,-14.375793,22.308548,3
329,19.73601,8.253596,4
330,1.3314699,14.158061,4
331,23.014149,31.46089,0
332,10.906023,17.434296,4
333,-1.2154195,20.349577,4
334,17.409113,22.101093,5
335,-1.9994572,19.955631,4
336,10.419318,18.176706,4
337,1.4880344,14.051394,4
338,2.837376,-25.773798,1
339,23.420685,31.663393,0
340,-13.4864235,-0.35244843,3
341,23.204636,31.734352,0
342,6.724203,19.973309,4
343,6.335346,19.194641,4
344,-1.9836233,19.968363,4
345,-2.0473096,18.606178,4
346,1.4488442,14.084371,4
347,1.4851516,14.039968,4
348,7.0352693,20.802494,4
349,6.8195834,20.876339,4
350,17.151503,22.309734,5
351,7.0622444,20.791521,4
352,-2.0356941,18.618813,4
353,6.9194083,8.73976,4
354,12.494465,17.040283,4
355,-2.0116966,18.602615,4
356,1.0461411,14.181179,4
357,-0.43529567,18.980343,4
358,6.320256,19.176723,4
359,7.256466,21.1589,4
360,6.823081,21.248472,4
361,-2.0333517,18.61941,4
362,17.196257,22.359343,5
363,7.1866508,21.02039,4
364,10.425428,18.167942,4
365,6.40228,19.306036,4
366,6.8307495,21.228476,4
367,10.913067,17.427202,4
368,10.894596,17.448185,4
369,10.416113,18.18132,4
370,13.363487,17.027582,4
371,13.404655,17.056633,4
372,-1.2322571,20.334518,4
373,-1.2174789,20.350588,4
374,-1.3399699,20.251986,4
375,7.17012,21.132706,4
376,1.3790891,14.152001,4
377,-14.302962,22.381157,3
378,-3.1756437,-3.3541567,2
379,1.4927427,14.04276,4
380,-18.342766,-16.009619,1
381,-8.861629,4.726124,2
382,-6.9877653,-10.912098,1
383,-18.34305,-16.009325,1
384,-17.069496,9.569087,3
385,-17.06985,9.577939,3
386,-17.07606,9.573247,3
387,2.8515596,-25.787994,1
388,-11.00276,-4.422317,1
389,23.14211,31.558216,0
390,-21.180138,2.728167,3
391,22.799006,31.585367,0
392,-13.527018,2.1386564,3
393,-14.376071,22.30826,3
394,2.8511474,-25.78759,1
395,-14.343352,22.340942,3
396,2.8483613,-25.784801,1
397,-21.184195,2.732318,3
398,-21.139116,2.687566,3
399,2.8537426,-25.790188,1
400,-17.069288,9.565595,3
401,-0.30141214,-14.31383,1
402,23.275648,31.28465,0
403,23.005095,31.629044,0
404,22.771835,31.592745,0
405,-6.4346313,-3.2681792,2
406,23.117865,31.838684,0
407,-23.481712,13.438859,3
