,UMAP1,UMAP2,UMAP3,profile
0,7.300112,-0.45449206,18.993067,2
1,7.310716,-0.4463646,18.979267,2
2,7.3071356,-0.44928032,18.983744,2
3,7.334625,-0.42433208,18.955463,2
4,7.3259788,-0.43582964,18.959133,2
5,7.340839,-0.41797084,18.94974,2
6,7.3356495,-0.42334455,18.954678,2
7,7.3357425,-0.4232042,18.954716,2
8,7.3336864,-0.42597282,18.955357,2
9,7.3331075,-0.42649016,18.956184,2
10,7.331956,-0.42792088,18.956762,2
11,7.329759,-0.43058264,18.958105,2
12,7.332487,-0.42938268,18.952272,2
13,7.325616,-0.43607053,18.959644,2
14,7.329574,-0.43073767,18.957632,2
15,7.3270626,-0.4366539,18.953892,2
16,7.324825,-0.43654323,18.960344,2
17,7.2965193,-0.46953905,18.97987,2
18,7.326529,-0.43439335,18.959642,2
19,7.3221855,-0.44302663,18.956749,2
20,7.3034453,-0.46295962,18.972338,2
21,7.3130064,-0.45186293,18.96543,2
22,7.311028,-0.45351323,18.967855,2
23,7.273024,-0.4853186,19.013851,2
24,7.2666736,-0.49295232,19.018345,2
25,7.2989306,-0.47198874,18.96893,2
26,7.265918,-0.49575302,19.016933,2
27,7.2754397,-0.50394183,18.97823,2
28,7.2719316,-0.5103657,18.977192,2
29,7.2710156,-0.48777235,19.01629,2
30,7.2541084,-0.5331308,18.982815,2
31,7.2629952,-0.4978963,19.019844,2
32,7.2359037,-0.5629709,18.98413,2
33,7.237317,-0.5598385,18.983137,2
34,7.2706957,-0.4880185,19.016937,2
35,7.272363,-0.48474744,19.016645,2
36,7.2627625,-0.50097424,19.015408,2
37,7.2660203,-0.49420005,19.019575,2
38,7.2623987,-0.4999818,19.018944,2
39,7.2688746,-0.48947296,19.019169,2
40,7.242098,-0.5201168,19.03935,2
41,7.1235948,-0.7406012,18.995228,2
42,7.26607,-0.49471438,19.01855,2
43,7.100029,-0.7719516,19.001148,2
44,7.0993314,-0.77287245,19.00123,2
45,7.102481,-0.77245235,18.997696,2
46,7.1329713,-0.7309525,18.99365,2
47,7.0870857,-0.7925639,19.002298,2
48,7.0688076,-0.82018316,19.00376,2
49,7.087408,-0.7948357,18.99966,2
50,7.0726933,-0.8173606,19.000038,2
51,7.0806584,-0.80604655,18.999092,2
52,7.056829,-0.836247,19.006556,2
53,7.056172,-0.8374206,19.006157,2
54,7.0641828,-0.8293727,19.001688,2
55,7.0387425,-0.86270803,19.00833,2
56,7.017533,-0.88941973,19.01303,2
57,7.0470185,-0.8540774,19.002384,2
58,7.04075,-0.86373615,19.001877,2
59,7.020685,-0.8891001,19.010149,2
60,7.034565,-0.8723929,19.002577,2
61,7.0221205,-0.8903877,19.003561,2
62,7.0304937,-0.87845874,19.002827,2
63,7.0074677,-0.91199917,19.00331,2
64,6.9664226,-0.9671079,19.015955,2
65,6.941759,-1.000753,19.01726,2
66,6.942083,-1.0016235,19.01818,2
67,6.987683,-0.93870956,18.993979,2
68,6.9920163,-0.9342951,19.003529,2
69,6.967475,-0.96912384,19.006254,2
70,6.965489,-0.9722895,19.00661,2
71,6.900582,-1.0615252,19.02463,2
72,6.8885803,-1.0778569,19.024853,2
73,6.883446,-1.08718,19.02614,2
74,6.8786077,-1.0942392,19.02509,2
75,6.8834977,-1.0873168,19.024504,2
76,6.8771086,-1.0947319,19.016987,2
77,6.8691235,-1.1069573,19.01606,2
78,6.8652735,-1.1136084,19.027334,2
79,6.857639,-1.124553,19.026762,2
80,6.861083,-1.1197224,19.026228,2
81,6.859883,-1.1195289,19.017517,2
82,6.8549647,-1.1281796,19.026325,2
83,6.8468337,-1.140092,19.02633,2
84,6.848217,-1.13804,19.026596,2
85,6.840986,-1.1512966,19.029726,2
86,6.8151484,-1.1839383,19.018211,2
87,6.8121395,-1.1870116,19.018774,2
88,6.835856,-1.1555916,19.02607,2
89,6.819216,-1.1777809,19.01879,2
90,6.808743,-1.1927636,19.018898,2
91,6.8243394,-1.1724725,19.026253,2
92,6.5426874,-1.9493454,19.537975,2
93,6.545545,-1.9476097,19.544418,2
94,6.5378504,-1.955278,19.536581,2
95,6.5371957,-1.9553288,19.535343,2
96,6.5372834,-1.9553349,19.535604,2
97,6.5399523,-1.9531709,19.53875,2
98,6.5381284,-1.9546434,19.536407,2
99,6.543137,-1.9493273,19.541483,2
100,6.737493,-1.2946804,19.01385,2
101,6.538984,-1.9539589,19.537363,2
102,6.5359282,-1.9567072,19.534985,2
103,6.5361075,-1.9565235,19.535057,2
